Captured Time,Latitude,Longitude,Value,Unit,Device ID
2025-04-10 01:54:17,37.21798,141.00097,15.0,cpm,100302.0
2025-04-10 01:54:17,37.21798,141.00097,38.0,cpm,100301.0
2025-04-10 01:54:13.397,38.3151,-123.0752,78.0,cpm,201051.0
2025-04-10 01:53:01,51.9807,9.2345,20.0,cpm,108.0
2025-04-10 01:54:08.004,43.6045,1.444,21.0,cpm,238.0
2025-04-10 01:54:01,37.056757,-122.138333,43.0,cpm,178.0
2025-04-10 01:53:57,37.0105,140.9253,13.0,cpm,100332.0
2025-04-10 01:53:56,37.0105,140.9253,37.0,cpm,100331.0
2025-04-10 01:53:55,36.99371,-121.59222,31.0,cpm,65050.0
2025-04-10 01:53:55,42.360781,-71.087719,21.0,cpm,200082.0
2025-04-10 01:53:54,42.360781,-71.087719,49.0,cpm,200081.0
2025-04-10 01:53:46,44.10849,-78.7524,34.0,cpm,62106.0
2025-04-10 01:53:37,34.48252,136.16311,41.0,cpm,62007.0
2025-04-10 01:52:37,42.4347,-87.9012,12.0,cpm,216.0
2025-04-10 01:52:36,42.4347,-87.9012,12.0,cpm,216.0
2025-04-10 01:52:35,52.4276,4.9711,19.0,cpm,205.0
2025-04-10 01:52:24,51.0634,11.7586,12.0,cpm,209.0
2025-04-10 01:53:23,45.60197,9.31745,46.0,cpm,65109.0
2025-04-10 01:53:21.488,37.442836,-122.128094,12.0,cpm,106.0
2025-04-10 01:53:21.494,37.442836,-122.128094,32.0,cpm,107.0
2025-04-10 01:53:18,37.796306,140.514413,15.0,cpm,100412.0
2025-04-10 01:53:10,37.796306,140.514413,55.0,cpm,100411.0
2025-04-10 01:53:08.32,38.3151,-123.0752,63.0,cpm,201051.0
2025-04-10 01:51:56,51.9807,9.2345,17.0,cpm,108.0
2025-04-10 01:52:37,34.48251,136.16312,41.0,cpm,62007.0
2025-04-10 01:51:31,42.4347,-87.9012,16.0,cpm,216.0
2025-04-10 01:51:31,42.4347,-87.9012,76.0,cpm,216.0
2025-04-10 01:51:33,52.4276,4.9711,23.0,cpm,205.0
2025-04-10 01:51:22,51.0634,11.7586,18.0,cpm,209.0
2025-04-10 01:52:06.77,43.6045,1.444,24.0,cpm,238.0
2025-04-10 01:52:03.3,38.3151,-123.0752,79.0,cpm,201051.0
2025-04-10 01:51:57,43.88204,-78.94496,28.0,cpm,65049.0
2025-04-10 01:51:55,47.65447,8.60455,24.0,cpm,63521.0
2025-04-10 01:50:55,51.9807,9.2345,20.0,cpm,108.0
2025-04-10 01:51:47,37.7875,140.5524,17.0,cpm,100402.0
2025-04-10 01:51:40,37.7875,140.5524,43.0,cpm,100401.0
2025-04-10 01:51:37,34.48254,136.16314,45.0,cpm,62007.0
2025-04-10 01:50:31,52.4276,4.9711,23.0,cpm,205.0
2025-04-10 01:50:30,42.4347,-87.9012,11.0,cpm,216.0
2025-04-10 01:51:31,35.659491,139.72785,27.0,cpm,100022.0
2025-04-10 01:51:30,35.659491,139.72785,8.0,cpm,100021.0
2025-04-10 01:51:28,35.26828,136.2493,14.0,cpm,100122.0
2025-04-10 01:51:28,35.26828,136.2493,0.0,cpm,100121.0
2025-04-10 01:51:27,37.752099,140.470826,0.0,cpm,100322.0
2025-04-10 01:51:26,37.752099,140.470826,39.0,cpm,100321.0
2025-04-10 01:51:23,22.28482,114.14,82.0,cpm,157.0
2025-04-10 01:50:20,51.0634,11.7586,15.0,cpm,209.0
2025-04-10 01:50:56,34.48268,136.16316,51.0,cpm,65002.0
2025-04-10 01:50:58.284,38.3151,-123.0752,77.0,cpm,201051.0
2025-04-10 01:49:53,51.9807,9.2345,17.0,cpm,108.0
2025-04-10 01:50:44,35.615814,139.625711,0.0,cpm,100182.0
2025-04-10 01:50:39,35.615814,139.625711,60.0,cpm,100181.0
2025-04-10 01:50:32,34.48256,136.16312,46.0,cpm,62007.0
2025-04-10 01:49:28,52.4276,4.9711,10.0,cpm,205.0
2025-04-10 01:49:23,42.4347,-87.9012,15.0,cpm,216.0
2025-04-10 01:49:23,42.4347,-87.9012,95.0,cpm,216.0
2025-04-10 01:49:16,51.0634,11.7586,8.0,cpm,209.0
2025-04-10 01:50:16,37.7233303,140.4767968,15.0,cpm,100422.0
2025-04-10 01:50:09,37.7233303,140.4767968,41.0,cpm,100421.0
2025-04-10 01:50:04.685,43.6045,1.444,22.0,cpm,238.0
2025-04-10 01:50:04,37.4932,139.93305,44.0,cpm,101.0
2025-04-10 01:49:57,43.8282,-79.01145,37.0,cpm,63209.0
2025-04-10 01:49:58,37.54562,140.398995,15.0,cpm,100242.0
2025-04-10 01:49:57,34.995197,135.764331,42.0,cpm,74.0
2025-04-10 01:49:57,37.54562,140.398995,42.0,cpm,100241.0
2025-04-10 01:49:53.261,38.3151,-123.0752,82.0,cpm,201051.0
2025-04-10 01:48:48,51.9807,9.2345,13.0,cpm,108.0
2025-04-10 01:49:44,37.366713,140.53097,17.0,cpm,100072.0
2025-04-10 01:49:43,37.366713,140.53097,1.0,cpm,100071.0
2025-04-10 01:48:20,52.4276,4.9711,25.0,cpm,205.0
2025-04-10 01:48:21,42.4347,-87.9012,16.0,cpm,216.0
2025-04-10 01:49:19,31.833193,130.301922,11.0,cpm,100222.0
2025-04-10 01:49:19,35.74591,139.91815,11.0,cpm,100162.0
2025-04-10 01:49:18,31.833193,130.301922,31.0,cpm,100221.0
2025-04-10 01:49:18,35.74591,139.91815,29.0,cpm,100161.0
2025-04-10 01:48:07,51.0634,11.7586,14.0,cpm,209.0
2025-04-10 01:49:14,37.21798,141.00097,13.0,cpm,100302.0
2025-04-10 01:49:14,37.21798,141.00097,40.0,cpm,100301.0
2025-04-10 01:49:11,34.48261,136.16308,46.0,cpm,62007.0
2025-04-10 01:49:01,37.056757,-122.138333,50.0,cpm,178.0
2025-04-10 01:48:55,36.99371,-121.59222,32.0,cpm,65050.0
2025-04-10 01:48:54,37.0105,140.9253,14.0,cpm,100332.0
2025-04-10 01:48:53,37.0105,140.9253,37.0,cpm,100331.0
2025-04-10 01:48:52,42.360781,-71.087719,17.0,cpm,200082.0
2025-04-10 01:48:52,42.360781,-71.087719,51.0,cpm,200081.0
2025-04-10 01:48:48.243,38.3151,-123.0752,86.0,cpm,201051.0
2025-04-10 01:47:47,51.9807,9.2345,22.0,cpm,108.0
2025-04-10 01:48:45,44.10849,-78.7524,32.0,cpm,62106.0
2025-04-10 01:48:23,45.60197,9.31745,56.0,cpm,65109.0
2025-04-10 01:47:15,42.4347,-87.9012,19.0,cpm,216.0
2025-04-10 01:47:15,42.4347,-87.9012,914.0,cpm,216.0
2025-04-10 01:47:18,52.4276,4.9711,28.0,cpm,205.0
2025-04-10 01:48:16.43,37.442836,-122.128094,11.0,cpm,106.0
2025-04-10 01:48:16.434,37.442836,-122.128094,28.0,cpm,107.0
2025-04-10 01:48:11,34.48258,136.16304,45.0,cpm,62007.0
2025-04-10 01:47:03,51.0634,11.7586,14.0,cpm,209.0
2025-04-10 01:48:02.522,43.6045,1.444,16.0,cpm,238.0
2025-04-10 01:47:57,37.796306,140.514413,16.0,cpm,100412.0
2025-04-10 01:47:51,37.796306,140.514413,56.0,cpm,100411.0
2025-04-10 01:46:46,51.9807,9.2345,23.0,cpm,108.0
2025-04-10 01:47:43.226,38.3151,-123.0752,88.0,cpm,201051.0
2025-04-10 01:46:16,52.4276,4.9711,15.0,cpm,205.0
2025-04-10 01:46:09,42.4347,-87.9012,16.0,cpm,216.0
2025-04-10 01:47:11,34.48257,136.16303,39.0,cpm,62007.0
2025-04-10 01:46:02,51.0634,11.7586,16.0,cpm,209.0
2025-04-10 01:46:57,43.88204,-78.94496,25.0,cpm,65049.0
2025-04-10 01:45:45,51.9807,9.2345,17.0,cpm,108.0
2025-04-10 01:46:38.202,38.3151,-123.0752,69.0,cpm,201051.0
2025-04-10 01:46:27,37.7875,140.5524,19.0,cpm,100402.0
2025-04-10 01:46:25,35.26828,136.2493,14.0,cpm,100122.0
2025-04-10 01:46:25,35.26828,136.2493,0.0,cpm,100121.0
2025-04-10 01:46:23,37.752099,140.470826,0.0,cpm,100322.0
2025-04-10 01:46:21,37.752099,140.470826,40.0,cpm,100321.0
2025-04-10 01:46:21,22.28482,114.14,75.0,cpm,157.0
2025-04-10 01:46:20,37.7875,140.5524,46.0,cpm,100401.0
2025-04-10 01:45:13,52.4276,4.9711,19.0,cpm,205.0
2025-04-10 01:46:11,34.4826,136.16297,47.0,cpm,62007.0
2025-04-10 01:45:07,42.4347,-87.9012,18.0,cpm,216.0
2025-04-10 01:45:04,42.4347,-87.9012,18.0,cpm,216.0
2025-04-10 01:44:57,51.0634,11.7586,22.0,cpm,209.0
2025-04-10 01:45:56,34.48268,136.16316,31.0,cpm,65002.0
2025-04-10 01:46:00.42,43.6045,1.444,12.0,cpm,238.0
2025-04-10 01:44:44,51.9807,9.2345,15.0,cpm,108.0
2025-04-10 01:45:33.182,38.3151,-123.0752,76.0,cpm,201051.0
2025-04-10 01:45:28,35.615814,139.625711,0.0,cpm,100182.0
2025-04-10 01:45:23,35.615814,139.625711,56.0,cpm,100181.0
2025-04-10 01:44:09,52.4276,4.9711,21.0,cpm,205.0
2025-04-10 01:45:11,34.48253,136.16293,41.0,cpm,62007.0
2025-04-10 01:43:58,42.4347,-87.9012,17.0,cpm,216.0
2025-04-10 01:43:59,42.4347,-87.9012,17.0,cpm,216.0
2025-04-10 01:45:04,37.4932,139.93305,52.0,cpm,101.0
2025-04-10 01:45:00,34.48265,136.16314,48.0,cpm,65006.0
2025-04-10 01:44:57,34.995197,135.764331,39.0,cpm,74.0
2025-04-10 01:44:57,37.7233303,140.4767968,16.0,cpm,100422.0
2025-04-10 01:44:55,43.8282,-79.01145,19.0,cpm,63209.0
2025-04-10 01:43:55,51.0634,11.7586,21.0,cpm,209.0
2025-04-10 01:44:53,37.54562,140.398995,13.0,cpm,100242.0
2025-04-10 01:44:53,37.54562,140.398995,38.0,cpm,100241.0
2025-04-10 01:44:50,37.7233303,140.4767968,42.0,cpm,100421.0
2025-04-10 01:43:43,51.9807,9.2345,14.0,cpm,108.0
2025-04-10 01:44:40,37.366713,140.53097,14.0,cpm,100072.0
2025-04-10 01:44:38,37.366713,140.53097,1.0,cpm,100071.0
2025-04-10 01:44:28.164,38.3151,-123.0752,81.0,cpm,201051.0
2025-04-10 01:44:15,31.833193,130.301922,12.0,cpm,100222.0
2025-04-10 01:44:15,35.74591,139.91815,12.0,cpm,100162.0
2025-04-10 01:44:14,31.833193,130.301922,24.0,cpm,100221.0
2025-04-10 01:44:14,35.74591,139.91815,33.0,cpm,100161.0
2025-04-10 01:44:11,34.48257,136.16293,49.0,cpm,62007.0
2025-04-10 01:44:11,37.21798,141.00097,12.0,cpm,100302.0
2025-04-10 01:44:10,37.21798,141.00097,36.0,cpm,100301.0
2025-04-10 01:43:08,52.4276,4.9711,26.0,cpm,205.0
2025-04-10 01:44:01,37.056757,-122.138333,48.0,cpm,178.0
2025-04-10 01:42:58,42.4347,-87.9012,14.0,cpm,216.0
2025-04-10 01:43:58.41,43.6045,1.444,19.0,cpm,238.0
2025-04-10 01:42:57,42.4347,-87.9012,14.0,cpm,216.0
2025-04-10 01:43:55,36.99371,-121.59222,25.0,cpm,65050.0
2025-04-10 01:42:53,51.0634,11.7586,17.0,cpm,209.0
2025-04-10 01:43:50,37.0105,140.9253,15.0,cpm,100332.0
2025-04-10 01:43:50,37.0105,140.9253,39.0,cpm,100331.0
2025-04-10 01:43:49,42.360781,-71.087719,20.0,cpm,200082.0
2025-04-10 01:43:49,42.360781,-71.087719,50.0,cpm,200081.0
2025-04-10 01:43:44,44.10849,-78.7524,28.0,cpm,62106.0
2025-04-10 01:43:44,47.65447,8.60455,32.0,cpm,63521.0
2025-04-10 01:42:42,51.9807,9.2345,13.0,cpm,108.0
2025-04-10 01:43:23,45.60197,9.31745,43.0,cpm,65109.0
2025-04-10 01:43:23.143,38.3151,-123.0752,89.0,cpm,201051.0
2025-04-10 01:43:11,34.48252,136.16296,37.0,cpm,62007.0
2025-04-10 01:43:11.372,37.442836,-122.128094,12.0,cpm,106.0
2025-04-10 01:43:11.379,37.442836,-122.128094,24.0,cpm,107.0
2025-04-10 01:42:07,52.4276,4.9711,17.0,cpm,205.0
2025-04-10 01:41:53,42.4347,-87.9012,119.0,cpm,216.0
2025-04-10 01:41:51,42.4347,-87.9012,1417.0,cpm,216.0
2025-04-10 01:41:51,51.0634,11.7586,17.0,cpm,209.0
2025-04-10 01:41:37,51.9807,9.2345,15.0,cpm,108.0
2025-04-10 01:42:38,37.796306,140.514413,18.0,cpm,100412.0
2025-04-10 01:42:31,37.796306,140.514413,57.0,cpm,100411.0
2025-04-10 01:42:18.126,38.3151,-123.0752,99.0,cpm,201051.0
2025-04-10 01:42:10,34.48248,136.163,48.0,cpm,62007.0
2025-04-10 01:41:05,52.4276,4.9711,17.0,cpm,205.0
2025-04-10 01:41:57,43.88204,-78.94496,26.0,cpm,65049.0
2025-04-10 01:41:54.328,43.6045,1.444,18.0,cpm,238.0
2025-04-10 01:40:46,42.4347,-87.9012,16.0,cpm,216.0
2025-04-10 01:40:49,51.0634,11.7586,19.0,cpm,209.0
2025-04-10 01:40:35,51.9807,9.2345,16.0,cpm,108.0
2025-04-10 01:41:23,35.26828,136.2493,11.0,cpm,100122.0
2025-04-10 01:41:22,35.26828,136.2493,0.0,cpm,100121.0
2025-04-10 01:41:20,22.28482,114.14,76.0,cpm,157.0
2025-04-10 01:41:18,37.752099,140.470826,0.0,cpm,100322.0
2025-04-10 01:41:17,37.752099,140.470826,39.0,cpm,100321.0
2025-04-10 01:41:13.107,38.3151,-123.0752,87.0,cpm,201051.0
2025-04-10 01:41:08,37.7875,140.5524,16.0,cpm,100402.0
2025-04-10 01:41:05,34.48251,136.16303,32.0,cpm,62007.0
2025-04-10 01:40:03,52.4276,4.9711,16.0,cpm,205.0
2025-04-10 01:41:01,37.7875,140.5524,44.0,cpm,100401.0
